Indicator,Indicator_Type,Subindicator,Gender,Maless_VS_FeMalesss,Age_Range,Country,Survey,Year,Stratification_Category,Stratification,Value,Denominator,Standard_Deviation,Confidence_Lower,Confidence_Upper
"90-90-90 (Laboratory or self-reported ARV)","Overall","Diagnosed","Total","","15-49 years","Cameroon","CAMPHIA",2016,"No stratification","","52.41",786,1.88,48.54,56.28
"90-90-90 (Laboratory or self-reported ARV)","Overall","On treatment","Total","","15-49 years","Cameroon","CAMPHIA",2016,"No stratification","","48.11",786,1.8,44.4,51.83
"90-90-90 (Laboratory or self-reported ARV)","Overall","Virally suppressed","Total","","15-49 years","Cameroon","CAMPHIA",2016,"No stratification","","37.14",786,2.01,33,41.28
"90-90-90 (Laboratory or self-reported ARV)","Conditional","Diagnosed","Total","","15-49 years","Cameroon","CAMPHIA",2016,"No stratification","","52.41",786,1.88,48.54,56.28
"90-90-90 (Laboratory or self-reported ARV)","Conditional","On treatment","Total","","15-49 years","Cameroon","CAMPHIA",2016,"No stratification","","91.80",403,1.7,88.3,95.29
"90-90-90 (Laboratory or self-reported ARV)","Conditional","Virally suppressed","Total","","15-49 years","Cameroon","CAMPHIA",2016,"No stratification","","77.19",372,3.04,70.92,83.46
"90-90-90 (Laboratory or self-reported ARV)","Overall","Diagnosed","Total","","15-49 years","Eswatini","SHIMS 2",2016,"No stratification","","86.12",2417,0.71,84.66,87.59
"90-90-90 (Laboratory or self-reported ARV)","Overall","On treatment","Total","","15-49 years","Eswatini","SHIMS 2",2016,"No stratification","","75.58",2417,0.96,73.61,77.55
"90-90-90 (Laboratory or self-reported ARV)","Overall","Virally suppressed","Total","","15-49 years","Eswatini","SHIMS 2",2016,"No stratification","","68.25",2417,1.04,66.11,70.38
"90-90-90 (Laboratory or self-reported ARV)","Conditional","Diagnosed","Total","","15-49 years","Eswatini","SHIMS 2",2016,"No stratification","","86.12",2417,0.71,84.66,87.59
"90-90-90 (Laboratory or self-reported ARV)","Conditional","On treatment","Total","","15-49 years","Eswatini","SHIMS 2",2016,"No stratification","","87.76",2113,0.87,85.96,89.55
"90-90-90 (Laboratory or self-reported ARV)","Conditional","Virally suppressed","Total","","15-49 years","Eswatini","SHIMS 2",2016,"No stratification","","90.30",1858,0.63,89.01,91.59
"90-90-90 (Laboratory or self-reported ARV)","Conditional","Diagnosed","Total","","15-49 years","Ethiopia","EPHIA",2017,"No stratification","","77.60",524,2.37,72.71,82.49
"90-90-90 (Laboratory or self-reported ARV)","Conditional","On treatment","Total","","15-49 years","Ethiopia","EPHIA",2017,"No stratification","","97.17",415,0.87,95.37,98.97
"90-90-90 (Laboratory or self-reported ARV)","Conditional","Virally suppressed","Total","","15-49 years","Ethiopia","EPHIA",2017,"No stratification","","86.63",403,1.97,82.56,90.7
"90-90-90 (Laboratory or self-reported ARV)","Overall","Diagnosed","Total","","15-49 years","Ethiopia","EPHIA",2017,"No stratification","","77.60",524,2.37,72.71,82.49
"90-90-90 (Laboratory or self-reported ARV)","Overall","On treatment","Total","","15-49 years","Ethiopia","EPHIA",2017,"No stratification","","75.40",524,2.38,70.5,80.31
"90-90-90 (Laboratory or self-reported ARV)","Overall","Virally suppressed","Total","","15-49 years","Ethiopia","EPHIA",2017,"No stratification","","65.32",524,2.55,60.07,70.58
"90-90-90 (Laboratory or self-reported ARV)","Overall","Diagnosed","Total","","15-49 years","Lesotho","LePHIA",2016,"No stratification","","79.53",2647,0.78,77.91,81.14
"90-90-90 (Laboratory or self-reported ARV)","Overall","On treatment","Total","","15-49 years","Lesotho","LePHIA",2016,"No stratification","","72.29",2647,0.97,70.29,74.3
"90-90-90 (Laboratory or self-reported ARV)","Overall","Virally suppressed","Total","","15-49 years","Lesotho","LePHIA",2016,"No stratification","","62.54",2647,1.08,60.32,64.75
"90-90-90 (Laboratory or self-reported ARV)","Conditional","Diagnosed","Total","","15-49 years","Lesotho","LePHIA",2016,"No stratification","","79.53",2647,0.78,77.91,81.14
"90-90-90 (Laboratory or self-reported ARV)","Conditional","On treatment","Total","","15-49 years","Lesotho","LePHIA",2016,"No stratification","","90.90",2149,0.73,89.4,92.41
"90-90-90 (Laboratory or self-reported ARV)","Conditional","Virally suppressed","Total","","15-49 years","Lesotho","LePHIA",2016,"No stratification","","86.51",1960,0.92,84.62,88.4
"90-90-90 (Laboratory or self-reported ARV)","Overall","Diagnosed","Total","","15-49 years","Malawi","MPHIA",2015,"No stratification","","75.91",1878,1.15,73.53,78.28
"90-90-90 (Laboratory or self-reported ARV)","Overall","On treatment","Total","","15-49 years","Malawi","MPHIA",2015,"No stratification","","68.79",1878,1.27,66.17,71.4
"90-90-90 (Laboratory or self-reported ARV)","Overall","Virally suppressed","Total","","15-49 years","Malawi","MPHIA",2015,"No stratification","","62.56",1878,1.35,59.77,65.34
