Operating Unit	Country Name	Planning Cycle	Implementation Year	Mechanism ID	Mechanism Name	Funding Agency	Partner Name	Award Number	Start Date	End Date	Procurement Type	Record Type	GAP	GHP-State	GHP-USAID	Total New Funding Sources	Applied Pipeline Amount	Total Planned Funding	CIRC	HBHC	HKID	HLAB	HMBL	HMIN	HTXD	HTXS	HVAB	HVCT	HVMS	HVOP	HVSI	IDUP	MTCT	OHSS	PDCS	PDTX	HVTB	Gender: Preventing and Responding to Gender-based Violence (GBV)	Water	Prevention among Adolescent Girls & Young Women	Condoms: Commodities	"Condoms: Policy, Tools, and Service Delivery"	Construction	Economic Strengthening	Education	Food and Nutrition: Commodities	"Food and Nutrition: Policy, Tools, and Service Delivery"	Gender: Gender Equality	Human Resources for Health	Key Populations: MSM and TG	Key Populations: SW	Motor Vehicles: Leased	Motor Vehicles: Purchased	Renovation
Angola	Angola	2020 COP	FY 2021	80060	AFENET	HHS/CDC	AFRICAN FIELD EPIDEMIOLOGY NETWORK	GH002140	4/1/2018 4:00	9/29/2023 4:00	Cooperative Agreement	Implementing Mechanism		963404		963404		963404	0	0	0	180026	0	0	0	548464	0	0	0	0	68400	0	0	166514	0	0	0																	
Angola	Angola	2020 COP	FY 2021	17397	CDU  Angola	DOD	CHARLES DREW UNIVERSITY OF MEDICINE AND SCIENCE	N002441510001	6/29/2018 7:00	6/29/2021 7:00	Contract	Implementing Mechanism		2110000		2110000		2110000	0	0	0	204971	0	0	0	1251286	0	0	0	168800	241143	0	0	168800	0	0	75000																	
Angola	Angola	2020 COP	FY 2021	18437	GHSC-PSM	USAID/WCF	"Chemonics International, Inc."	AIDOAAI1500004AIDOAATO1500007	1/11/2016 5:00	11/28/2020 5:00	Contract	Implementing Mechanism		1514049		1514049		1514049	0	0	0	0	0	0	0	468945	0	0	0	0	0	0	0	1045104	0	0	0																	
Angola	Angola	2020 COP	FY 2021	81010	Reducing Infections through Support and Education (RISE) II Project	USAID	MOTHERS2MOTHERS SOUTH AFRICA	72067418CA00004	12/11/2017 5:00	12/10/2022 5:00	Contract	Implementing Mechanism	0	2398000	0	2398000	0	2398000	0	0	0	0	0	0	0	871138	0	1526862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angola	Angola	2020 COP	FY 2021	17848	INLS	HHS/CDC	NATIONAL INSTITUTE OF AIDS	GH001918	9/30/2016 4:00	9/29/2021 4:00	Cooperative Agreement	Implementing Mechanism		335200		335200		335200	0	0	0	0	0	0	0	77913	0	0	0	0	50596	0	0	206691	0	0	0																	
Angola	Angola	2020 COP	FY 2021	84003	Public Health Institute	HHS/CDC	PUBLIC HEALTH INSTITUTE	GH002093				Implementing Mechanism		230000		230000		230000	0	0	0	0	0	0	0	0	0	0	0	0	230000	0	0	0	0	0	0																	
Angola	Angola	2020 COP	FY 2021	81008	GHSC-RTK	USAID/WCF	Remote Medicine Inc.	AIDOAAI1500002AIDOAATO1500004			Contract	Implementing Mechanism		225015		225015		225015	0	0	0	0	0	0	0	0	0	175000	0	0	0	0	50015	0	0	0	0																	
Angola	Angola	2020 COP	FY 2021	Redacted as the Mechanism is to be determined	Redacted as the Mechanism is to be determined	USAID	TBD	TBDawardUSAID				Implementing Mechanism	0	240000	0	240000	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angola	Angola	2020 COP	FY 2021	81002	ICAP	HHS/CDC	Trustees Of Columbia University In The City Of New York	GH002216				Implementing Mechanism		4219195		4219195		4219195	0	0	0	0	0	0	0	2923402	0	593983	0	0	238024	0	0	338786	0	0	125000												170041					
Angola	Angola	2020 COP	FY 2021	102003	Management and Operations	USAID						Management and Operations	0	841453	0	841453	448684	1290137	0	0	0	0	0	0	0	0	0	0	841453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
